year,category_slug,entries,status,url
2015,audio-radio,1700,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402015
2015,film,3041,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/film?tag=publication+dates%40%40year%40%402015
2015,outdoor,4990,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/outdoor?tag=publication+dates%40%40year%40%402015
2015,print-publishing,4428,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/print-publishing?tag=publication+dates%40%40year%40%402015
2015,design,2400,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/design?tag=publication+dates%40%40year%40%402015
2015,digital-craft,0,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/digital-craft?tag=publication+dates%40%40year%40%402015
2015,film-craft,2187,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/film-craft?tag=publication+dates%40%40year%40%402015
2015,industry-craft,0,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/industry-craft?tag=publication+dates%40%40year%40%402015
2015,creative-b2b,0,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-b2b?tag=publication+dates%40%40year%40%402015
2015,creative-data,613,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-data?tag=publication+dates%40%40year%40%402015
2015,direct,2793,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/direct?tag=publication+dates%40%40year%40%402015
2015,media,3166,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/media?tag=publication+dates%40%40year%40%402015
2015,pr,1964,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/pr?tag=publication+dates%40%40year%40%402015
2015,social-creator,3726,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/social-creator?tag=publication+dates%40%40year%40%402015
2015,entertainment,1385,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/entertainment?tag=publication+dates%40%40year%40%402015
2015,entertainment-lions-for-gaming,0,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/entertainment-lions-for-gaming?tag=publication+dates%40%40year%40%402015
2015,entertainment-lions-for-music,0,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/entertainment-lions-for-music?tag=publication+dates%40%40year%40%402015
2015,entertainment-lions-for-sport,0,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/entertainment-lions-for-sport?tag=publication+dates%40%40year%40%402015
2015,brand-experience-activation,3183,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402015
2015,creative-business-transformation,0,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-business-transformation?tag=publication+dates%40%40year%40%402015
2015,creative-commerce,0,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-commerce?tag=publication+dates%40%40year%40%402015
2015,innovation,226,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/innovation?tag=publication+dates%40%40year%40%402015
2015,luxury,0,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/luxury?tag=publication+dates%40%40year%40%402015
2015,glass-the-lion-for-change,165,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/glass-the-lion-for-change?tag=publication+dates%40%40year%40%402015
2015,sustainable-development-goals,0,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/sustainable-development-goals?tag=publication+dates%40%40year%40%402015
2015,health-wellness,1429,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/health-wellness?tag=publication+dates%40%40year%40%402015
2015,pharma,432,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/pharma?tag=publication+dates%40%40year%40%402015
2015,creative-effectiveness,160,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-effectiveness?tag=publication+dates%40%40year%40%402015
2015,creative-strategy,0,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-strategy?tag=publication+dates%40%40year%40%402015
2015,titanium,373,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/titanium?tag=publication+dates%40%40year%40%402015
2016,audio-radio,1401,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402016
2016,film,2787,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/film?tag=publication+dates%40%40year%40%402016
2016,outdoor,5314,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/outdoor?tag=publication+dates%40%40year%40%402016
2016,print-publishing,3739,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/print-publishing?tag=publication+dates%40%40year%40%402016
2016,design,2830,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/design?tag=publication+dates%40%40year%40%402016
2016,digital-craft,1142,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/digital-craft?tag=publication+dates%40%40year%40%402016
2016,film-craft,2311,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/film-craft?tag=publication+dates%40%40year%40%402016
2016,industry-craft,276,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/industry-craft?tag=publication+dates%40%40year%40%402016
2016,creative-b2b,0,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-b2b?tag=publication+dates%40%40year%40%402016
2016,creative-data,713,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-data?tag=publication+dates%40%40year%40%402016
2016,direct,3069,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/direct?tag=publication+dates%40%40year%40%402016
2016,media,2964,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/media?tag=publication+dates%40%40year%40%402016
