year,category_slug,level2,level3,entries,status,url
2025,audio-radio,Audio & Radio: Sectors,D01: Consumer Goods,704,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Audio+%26+Radio%3A+Sectors%40%40D01%3A+Consumer+Goods
2025,audio-radio,Audio & Radio: Sectors,D02: Healthcare,704,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Audio+%26+Radio%3A+Sectors%40%40D02%3A+Healthcare
2025,audio-radio,Audio & Radio: Sectors,D03: Automotive,704,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Audio+%26+Radio%3A+Sectors%40%40D03%3A+Automotive
2025,audio-radio,Audio & Radio: Sectors,"D04: Travel, Leisure, Retail, Restaurants & Fast-Food Chains",704,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Audio+%26+Radio%3A+Sectors%40%40D04%3A+Travel%2C+Leisure%2C+Retail%2C+Restaurants+%26+Fast-Food+Chains
2025,audio-radio,Audio & Radio: Sectors,D05: Media/Entertainment,704,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Audio+%26+Radio%3A+Sectors%40%40D05%3A+Media%2FEntertainment
2025,audio-radio,Audio & Radio: Sectors,D06: Consumer Services/Business to Business,704,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Audio+%26+Radio%3A+Sectors%40%40D06%3A+Consumer+Services%2FBusiness+to+Business
2025,audio-radio,Audio & Radio: Sectors,D07: Not-for-Profit / Charity / Government,704,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Audio+%26+Radio%3A+Sectors%40%40D07%3A+Not-for-Profit+%2F+Charity+%2F+Government
2025,audio-radio,Culture & Context,C01: Local Brand,704,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Culture+%26+Context%40%40C01%3A+Local+Brand
2025,audio-radio,Culture & Context,C02: Challenger Brand,704,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Culture+%26+Context%40%40C02%3A+Challenger+Brand
2025,audio-radio,Culture & Context,C03: Single-Market Campaign,704,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402025%23%23lions+award+category%40%40Culture+%26+Context%40%40C03%3A+Single-Market+Campaign
