year,category_slug,subcategory,subcategory_hub,work_name,agency,entry_url,source_url
2025,audio-radio,D01 - Consumer Goods,Healthcare,PROMOTION,"OPELLA - ALLEGRA, MRM NEW YORK",https://www.lovethework.com/work/entries/promotion-760733,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402025%23%23trophies%40%40award+level%40%40unawarded
2025,audio-radio,B02 - Sound Design,Sound Design,Zero Disruption AD,"COCA-COLA, VML",https://www.lovethework.com/work/entries/zero-disruption-ad-759277,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402025%23%23trophies%40%40award+level%40%40unawarded
2025,audio-radio,A06 - Audio-Led Creativity,Audio-Led Creativity,.41,"RAPPIN HOOD, TECH AND SOUL",https://www.lovethework.com/work/entries/41-764553,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402025%23%23trophies%40%40award+level%40%40unawarded
2025,audio-radio,B02 - Sound Design,Sound Design,PLAY THE DEW,"MOUNTAIN DEW, BBDO GUERRERO",https://www.lovethework.com/work/entries/play-the-dew-764991,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402025%23%23trophies%40%40award+level%40%40unawarded
2025,audio-radio,A04 - Branded Content/Podcasts,Media/Entertainment,NEW HEIGHTS WITH JASON & TRAVIS KELCE,"WONDERY, WONDERY",https://www.lovethework.com/work/entries/new-heights-with-jason-travis-kelce-763395,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402025%23%23trophies%40%40award+level%40%40unawarded
2025,audio-radio,A01 - Use of Audio & Radio as a Medium,Use of Audio & Radio as a Medium,REBORN SONGS,"LIFELINK, VML",https://www.lovethework.com/work/entries/reborn-songs-763569,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402025%23%23trophies%40%40award+level%40%40unawarded
2025,audio-radio,A01 - Use of Audio & Radio as a Medium,Use of Audio & Radio as a Medium,FLAMING GRILL RADIO,"BURGER KING, PROXIMITY BBDO",https://www.lovethework.com/work/entries/flaming-grill-radio-762551,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402025%23%23trophies%40%40award+level%40%40unawarded
2025,audio-radio,D01 - Consumer Goods,Healthcare,DIGITAL CLOCK,"POISE, GUT",https://www.lovethework.com/work/entries/digital-clock-762653,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402025%23%23trophies%40%40award+level%40%40unawarded
2025,audio-radio,A01 - Use of Audio & Radio as a Medium,Use of Audio & Radio as a Medium,DIRTY MOUTH SPONSORSHIP,"CIF, DROGA5, PART OF ACCENTURE SONG",https://www.lovethework.com/work/entries/dirty-mouth-sponsorship-764407,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402025%23%23trophies%40%40award+level%40%40unawarded
2025,audio-radio,D01 - Consumer Goods,"Travel, Leisure, Retail, Restaurants & Fast-Food Chains",EMOJIS ON THE RADIO,"OLD FOURTH DISTILLERY, MURDER HORNET",https://www.lovethework.com/work/entries/emojis-on-the-radio-741989,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402025%23%23trophies%40%40award+level%40%40unawarded
