category_slug,subcategory,fee_eur,eur_per_point,max_entries_marginal_rule,optimal_n_net_profit,expected_net_profit_eur_at_optimal_n,implied_breakeven_eur_per_point_first_entry,max_entries_relative_marginal_floor,marginal_relative_floor,structural_ceiling_metal_rows,festival_years_sampled
audio-radio,"A01 - Foods",1140,1,0,0,0,1806.6561,13,0.15,6,1
audio-radio,"A02 - Alcoholic Drinks",1140,1,0,0,0,2252.9644,8,0.15,3,1
audio-radio,"A03 - Non-Alcoholic Drinks",1140,1,0,0,0,1900,4,0.15,3,1
audio-radio,"A04 - Household",1140,1,0,0,0,1030.7414,15,0.15,5,1
audio-radio,"A05 - Home Appliances, Furnishings, Electronics & Audio Visual",1140,1,0,0,0,1900,11,0.15,4,1
audio-radio,"A06 - Cosmetics, Beauty & Toiletries",1140,1,0,0,0,786.2069,7,0.15,4,1
audio-radio,"A09 - Miscellaneous",1140,1,0,0,0,1446.7005,18,0.15,5,1
audio-radio,"A10 - Cars & Automotive Services",1140,1,0,0,0,3507.6923,17,0.15,6,1
audio-radio,"A11 - Retail Stores",1140,1,0,0,0,7916.6667,13,0.15,2,1
audio-radio,"A13 - Travel, Transport & Tourism",1140,1,0,0,0,1656.9767,6,0.15,2,1
audio-radio,"A14 - Entertainment & Leisure",1140,1,0,0,0,2645.0116,7,0.15,9,1
audio-radio,"A15 - Publications & Media",1140,1,0,0,0,1628.5714,20,0.15,6,1
audio-radio,"A16 - Banking, Investment & Insurance",1140,1,0,0,0,7307.6923,5,0.15,1,1
audio-radio,"A18 - Commercial Public Services",1140,1,0,0,0,1900,20,0.15,3,1
audio-radio,"A19 - Corporate Image & Communication",1140,1,0,0,0,2567.5676,12,0.15,1,1
audio-radio,"A20 - Public Health & Safety",1140,1,0,0,0,1520,12,0.15,1,1
audio-radio,"A21 - Public Awareness Messages",1140,1,0,0,0,1183.8006,5,0.15,9,1
audio-radio,"A22 - Fundraising, Donations & Appeals",1140,1,0,0,0,2760.2906,7,0.15,7,1
audio-radio,"B01 - Use of Music",1140,1,0,0,0,1311.8527,12,0.15,5,7
audio-radio,"B02 - Use of Sound Design",1140,1,0,0,0,1001.7575,20,0.15,4,1
audio-radio,"B03 - Scriptwriting",1140,1,0,0,0,2992.126,5,0.15,8,1
audio-radio,"B04 - Performance",1140,1,0,0,0,5876.2887,18,0.15,3,1
audio-radio,"C01 - Use of Radio as a Medium",1140,1,0,0,0,4145.4545,18,0.15,3,1
audio-radio,"C02 - Use of Audio Technology",1140,1,0,0,0,1688.8889,12,0.15,3,6
audio-radio,"C03 - Use of Branded Content / Programming",1140,1,0,0,0,1248.6309,20,0.15,5,1
brand-experience-activation,"A01 - Use of Promotional Events & Stunts",1315,1,0,0,0,10038.1679,7,0.15,5,1
brand-experience-activation,"A02 - Use of Live Shows/Concerts/Festivals",1315,1,0,0,0,2213.8047,4,0.15,2,1
brand-experience-activation,"A03 - Use of Exhibitions and Installations",1315,1,0,0,0,5000,4,0.15,4,1
brand-experience-activation,"A04 - Use of Ambient in a Promotional Campaign: Small Scale",1315,1,0,0,0,2061.1285,1,0.15,4,1
brand-experience-activation,"A05 - Use of Ambient in a Promotional Campaign: Large Scale",1315,1,0,0,0,2191.6667,17,0.15,6,1
brand-experience-activation,"A06 - Use of Customer in-Store Experience",1315,1,0,0,0,3051.0441,4,0.15,5,1
brand-experience-activation,"A07 - Product Launch/re-Launch or Multi-Product Promotion",1315,1,0,0,0,9131.9444,2,0.15,5,1
brand-experience-activation,"A08 - Use of Broadcast in a Promotional Campaign",1315,1,0,0,0,6575,6,0.15,3,1
brand-experience-activation,"A09 - Use of Print or Standard Outdoor in a Promotional Campaign",1315,1,0,0,0,6994.6809,13,0.15,2,1
brand-experience-activation,"A10 - Use of Competitions & Promotional Games",1315,1,0,0,0,4679.7153,9,0.15,2,1
brand-experience-activation,"A11 - Sponsorship or Partnership Campaigns",1315,1,0,0,0,5136.7188,10,0.15,6,1
brand-experience-activation,"B01 - Use of Digital Advertising in a Promotional Campaign",1315,1,0,0,0,2598.8142,9,0.15,5,1
brand-experience-activation,"B02 - Use of New Technology in a Promotional Campaign",1315,1,0,0,0,2191.6667,4,0.15,3,1
brand-experience-activation,"B03 - Use of Social Platform(s) in a Promotional Campaign",1315,1,0,0,0,4781.8182,8,0.15,6,1
brand-experience-activation,"B04 - Use of Social Audience in a Promotional Campaign",1315,1,0,0,0,4781.8182,7,0.15,9,1
brand-experience-activation,"C01 - Food & Drinks (incl. Alcoholic Drinks)",1315,1,0,0,0,4201.278,6,0.15,6,1
brand-experience-activation,"C02 - Fast Moving Consumer Goods (not including Food & Drinks)",1315,1,0,0,0,2335.7016,9,0.15,5,1
brand-experience-activation,"C03 - Cars & Automotive Services",1315,1,0,0,0,1298.1244,6,0.15,5,1
brand-experience-activation,"C04 - Other Consumer Products (incl. durable goods)",1315,1,0,0,0,2840.1728,7,0.15,2,1
